,Rank,Wallet_Address,Quantity,Percentage
0,1,0x281055afc982d96fab65b3a49cac8b878184cb16,1538422.827830758194846506,1.53720356%
1,2,0x6f46cf5569aefa1acc1009290c8e043747172d89,1510065.606605753037298732,1.50886881%
2,3,0x90e63c3d53e0ea496845b7a03ec7548b70014a91,1507810.416658365151596003,1.50661541%
3,4,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1378754.093067888911481302,1.37766137%
4,5,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,1000000.011363125364129408,0.99920747%
5,6,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,923964.655530760214330778,0.92323237%
6,7,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,801159.261933372094865,0.80052431%
7,8,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,725000.00001,0.72442541%
8,9,0x742d35cc6634c0532925a3b844bc454e4438f44e,712188.1937854365,0.71162375%
9,10,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,680463.887740955787404457,0.67992459%
10,11,0xf27daff52c38b2c373ad2b9392652ddf433303c4,672784.621162328644707614,0.67225141%
11,12,0x3d2e397f94e415d7773e72e44d5b5338a99e77d9,672524.354297598456761386,0.67199135%
12,13,0xb8487eed31cf5c559bf3f4edd166b949553d0d11,670941.344226715138320524,0.67040959%
13,14,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,667816.163518885498951364,0.66728689%
14,15,0x74660414dfae86b196452497a4332bd0e6611e82,579999.999921,0.57954032%
15,16,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000.00001,0.55955618%
16,17,0x6f52730dba7b02beefcaf0d6998c9ae901ea04f9,558116.697213920575423655,0.55767437%
17,18,0x5ffc99b5b23c5ab8f463f6090342879c286a29be,552124.155366522618683042,0.55168657%
18,19,0xfca70e67b3f93f679992cd36323eeb5a5370c8e4,540999.8993290566,0.54057113%
19,20,0x51f9c432a4e59ac86282d6adab4c2eb8919160eb,530000.00001,0.52957995%
20,21,0x52965f9bd9d0f2bbea9b5a9c155a455d0e58fe25,493015.460482234354359689,0.49262472%
21,22,0x847ed5f2e5dde85ea2b685edab5f1f348fb140ed,483000.094939,0.48261730%
22,23,0xf0160428a8552ac9bb7e050d90eeade4ddd52843,466648.147462885422905454,0.46627831%
23,24,0x900d0881a2e85a8e4076412ad1cefbe2d39c566c,450000.050010007777777777,0.44964341%
24,25,0xf1ce0a98efbfa3f8ebec2399847b7d88294a634e,450000.02001,0.44964338%
25,26,0x3bf86ed8a3153ec933786a02ac090301855e576b,450000.00002,0.44964336%
26,27,0xbf09d77048e270b662330e9486b38b43cd781495,436000.00001,0.43565445%
27,28,0x9937dbb2128b55c44d8af7bf36fd76796a814cf4,428645.890491800664714104,0.42830617%
28,29,0xdc76cd25977e0a5ae17155770273ad58648900d3,414661.584890888000287,0.41433295%
29,30,0x9d2bfc36106f038250c01801685785b16c86c60d,380000.04178819,0.37969888%
30,31,0x2b241f037337eb4acc61849bd272ac133f7cdf4b,378000.034736713740133338,0.37770045%
31,32,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,369023.148049999999999999,0.36873068%
32,33,0xab5801a7d398351b8be11c439e05c5b3259aec9b,365003.278106457867877843,0.36471400%
33,34,0x07ee55aa48bb72dcc6e9d78256648910de513eca,363024.76441062714,0.36273705%
34,35,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,358242,0.35795808%
35,36,0x9f1de00776811f916790be357f1cabf6ac1eca65,350001.491232980445276777,0.34972410%
36,37,0xcea2b9186ece677f9b8ff38dc8ff792e9a9e7f8a,325000.00001,0.32474242%
37,38,0x850c0224f37f67c471e860375ac8e39fea61e8b0,319500.008402431527777777,0.31924679%
38,39,0x3bfc20f0b9afcace800d73d2191166ff16540258,306276.272261399926202,0.30603353%
39,40,0x4fd166478b440fb2a0bc64321ec35ed48f9cdb16,281379.773287891336611282,0.28115677%
40,41,0x69c6dcc8f83b196605fa1076897af0e7e2b6b044,275000.000010015555555554,0.27478205%
41,42,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,262483.320061397347313441,0.26227529%
42,43,0xa646e29877d52b9e2de457eca09c724ff16d0a2b,258219.347970953,0.25801470%
43,44,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248.45391694,0.25404695%
44,45,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000.00001,0.24980186%
45,46,0xdb6fd484cfa46eeeb73c71edee823e4812f9e2e1,243305.212995542792941009,0.24311238%
46,47,0xcafe1a77e84698c83ca8931f54a755176ef75f2c,240985.969267635301822239,0.24079498%
47,48,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,222572.596813893282717675,0.22239620%
48,49,0xf2b595c7327ef29b537e0981ef99d62257a73136,206541.885259324154841344,0.20637819%
49,50,0x2bde3b9c0129be4689e245ba689b9b0ae4ac666d,203527.13952778,0.20336584%
